Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
0,6110 WHELESS CV APT C,"Austin, TX",78723.0,2,1,750,2,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator, Water Heater-electric",99328.0,yes,no,no,no,USA
1,2208 DEL CURTO RD,"Austin, TX",78704.0,1,1,575,1,Yes,"Electric Range, Microwave, Refrigerator",132576.0,no,no,no,no,USA
2,412 W ALPINE RD,"Austin, TX",78704.0,1,1,654,2,Yes,"Dishwasher, Gas Range, Refrigerator, See Remarks",128836.0,yes,no,no,no,USA
3,502 W 35TH ST APT 105,"Austin, TX",78705.0,1,1,425,1,Yes,"Dryer, Free-standing Range, Refrigerator, Washer",82704.0,no,no,no,no,USA
4,2502 LEON ST APT 415,"Austin, TX",78705.0,2,2,868,2,Yes,"Dishwasher, Disposal, Energy Star Qualified Appliances, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",124264.0,yes,no,no,no,USA
5,4709 HARMON AVE APT 312,"Austin, TX",78751.0,1,1,640,1,Yes,"Cooktop Gas, Oven, Free-standing Range, Refrigerator, Stainless Steel Appliance(s)",72730.0,no,no,no,no,USA
6,2509 ALLRED DR APT A,"Austin, TX",78748.0,2,3,"1,363",2,Yes,"Dishwasher, Gas Range, Free-standing Range, Refrigerator, Water Heater-gas",174552.0,yes,no,no,no,USA
7,7906 WEST GATE BLVD # A,"Austin, TX",78745.0,2,2,914,2,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator",132992.0,yes,no,no,no,USA
8,2815 RIO GRANDE ST APT 105,"Austin, TX",78705.0,1,1,369,1,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator",93510.0,yes,no,no,no,USA
9,12300 PATRON DR # A,"Austin, TX",78758.0,2,2,"1,784",2,Yes,"Dishwasher, Disposal, Gas Range, Refrigerator",137148.0,yes,no,no,no,USA
10,12307 DEER FALLS DR # A,"Austin, TX",78729.0,2,3,"1,964",2,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range",137148.0,yes,no,no,no,USA
11,6003 COUGAR DR APT B,"Austin, TX",78745.0,2,2,"1,000",2,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range, Refrigerator",137148.0,yes,no,no,no,USA
12,1813 GRACY FARMS LN # B,"Austin, TX",78758.0,2,1,840,2,Yes,"Dishwasher, Disposal, Free-standing Gas Range, Free-standing Refrigerator, Water Heater-gas",128836.0,yes,no,no,no,USA
13,1406 ALMA DR,"Austin, TX",78753.0,2,2,"1,010",2,Yes,"Dishwasher, Disposal, Free-standing Electric Oven",156182.0,yes,no,no,no,USA
14,114 E 31ST ST APT 214,"Austin, TX",78705.0,1,1,600,1,Yes,"Dishwasher, Disposal, Dryer, Electric Cooktop, Electric Range, Freezer, Microwave, Oven, Electric Oven, Range, Refrigerator, Washer/Dryer Stacked",126758.0,yes,no,no,no,USA
15,3306 MCELROY DR,"Austin, TX",78757.0,2,1,892,1,Yes,"Built-in Gas Range, Dishwasher, Dryer, Refrigerator, Washer",156182.0,no,no,no,no,USA
16,1600 BARTON SPRINGS RD UNIT 5304,"Austin, TX",78704.0,1,1,681,1,Yes,"Dishwasher, Disposal, Cooktop Gas, Gas Range, Microwave, Refrigerator, Self Cleaning Oven",195332.0,yes,no,no,no,USA
17,12001 VISTA PARKE DR APT 604,"Austin, TX",78726.0,2,2,"1,422",2,Yes,"Built-in Oven(s), Built-in Range, Cooktop, Dishwasher, Disposal, Down Draft, Dryer, Electric Cooktop, Energy Star Qualified Appliances, Energy Star Qualified Dishwasher, Energy Star Qualified Dryer, Energy Star Qualified Refrigerator, Energy Star Qualified Washer, Energy Star Qualified Water Heater, Exhaust Fan, Microwave, Oven, Refrigerator, Stainless Steel Appliance(s), Washer/Dryer, Water Heater-electric",249360.0,no,no,no,no,USA
18,2805A PARKER LN APT A,"Austin, TX",78741.0,1,1,578,2,Yes,"Dishwasher, Electric Range, Refrigerator",87276.0,yes,no,no,no,USA
19,507 SABINE ST APT 506,"Austin, TX",78701.0,1,1,877,1,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Microwave, Refrigerator, Washer/Dryer Stacked",199488.0,yes,no,no,no,USA
20,909 REINLI ST APT 138,"Austin, TX",78751.0,1,1,590,1,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Self Cleaning Oven, Stainless Steel Appliance(s), Water Heater-gas",99744.0,yes,no,no,no,USA
21,2021 SIMOND AVE APT B,"Austin, TX",78723.0,2,2,"2,022",2,Yes,"Dishwasher, Disposal, Cooktop Gas, Gas Range, Microwave, Refrigerator, Tankless Water Heater",290920.0,yes,no,no,no,USA
22,,,,—,—,"1,479",No Info,No Info,,0.0,no,no,no,no,USA
23,9303 QUAIL FIELD DR # B,"Austin, TX",78758.0,2,1,"1,908",1,Yes,"Dishwasher, Disposal, Exhaust Fan, Free-standing Gas Range, Refrigerator, Water Heater-gas",118446.0,yes,no,no,no,USA
24,800 EMBASSY DR APT 425,"Austin, TX",78702.0,2,2,"1,585",2,Yes,"Cooktop, Dishwasher, Disposal, Microwave, Refrigerator",415184.0,no,no,no,no,USA
25,900 S 1ST ST UNIT 311,"Austin, TX",78704.0,2,2,"1,347",2,Yes,"Built-in Oven(s), Dishwasher, Disposal, Cooktop Gas, Microwave, Refrigerator, Wine Cooler, Wine Refrigerator",348688.0,no,no,no,no,USA
26,6201 BERKETT CV,"Austin, TX",78745.0,2,1,"1,680",2,Yes,"Dishwasher, Gas Range, Refrigerator",124264.0,yes,no,no,no,USA
27,2305 BARTON VILLAGE CIR APT 101,"Austin, TX",78704.0,2,2,"3,526",2,Yes,"Dishwasher, Gas Range, Refrigerator",140888.0,yes,no,no,no,USA
28,505 W 7TH ST APT 209,"Austin, TX",78701.0,2,3,"1,418",2,Yes,Free-standing Range,216112.0,no,no,no,no,USA
29,8405 WINTER HAVEN RD,"Austin, TX",78747.0,2,1,867,2,Yes,"Dishwasher, Disposal, Free-standing Range, Stainless Steel Appliance(s), Washer/Dryer, Water Heater-gas",137148.0,yes,no,no,no,USA
30,3400 SPEEDWAY APT 308,"Austin, TX",78705.0,1,1,618,1,Yes,"Oven, Refrigerator, Washer/Dryer",128836.0,no,no,no,no,USA
31,4307 S 1ST ST APT 108,"Austin, TX",78745.0,1,1,594,1,Yes,"Convection Oven, Dishwasher, Disposal, Electric Cooktop, Refrigerator, Water Heater-electric",116368.0,no,no,no,no,USA
32,,,,,,,,,,0.0,no,no,no,no,USA
33,5101 EVANS AVE APT 103,"Austin, TX",78751.0,1,1,425,1,Yes,"Dishwasher, Range, Refrigerator",76886.0,yes,no,no,no,USA
34,1213 ROMERIA DR,"Austin, TX",78757.0,2,1,900,3,Yes,"Dishwasher, Disposal, Gas Range, Microwave, Range, Free-standing Gas Range, Stainless Steel Appliance(s)",207800.0,yes,no,no,no,USA
35,1310 W PARMER LN # 18B,"Austin, TX",78727.0,2,3,"1,473",2,Yes,"Dishwasher, Disposal, Dryer, Exhaust Fan, Gas Range, Microwave, Free-standing Range, Refrigerator, Washer",174552.0,yes,no,no,no,USA
36,206 E 34TH ST APT C,"Austin, TX",78705.0,1,1,532,1,Yes,"Electric Range, Exhaust Fan, Free-standing Range, Refrigerator, Water Heater-electric",108056.0,no,no,no,no,USA
37,6510 CASCADA DR,"Austin, TX",78750.0,2,3,"1,839",4,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator",224008.0,yes,no,no,no,USA
38,1507 NEWTON ST # B,"Austin, TX",78704.0,2,2,"1,045",2,Yes,"Dishwasher, Disposal, Dryer, Microwave, Free-standing Range, Refrigerator, Washer",249360.0,yes,no,no,no,USA
39,1610 GARDEN ST,"Austin, TX",78702.0,2,2,"1,778",1,Yes,"Dishwasher, Free-standing Gas Range, Refrigerator",324168.0,yes,no,no,no,USA
40,2417 LEON ST,"Austin, TX",78705.0,2,2,"1,769",2,No Info,"Built-in Oven(s), Dishwasher, Disposal, Freezer, Cooktop Gas, Microwave, Oven, Gas Oven, Refrigerator, Stainless Steel Appliance(s), Washer, Washer/Dryer",166240.0,no,no,no,no,USA
41,5 TOURNAMENT WAY UNIT 8,"The Hills, TX",78738.0,1,1,630,1,Yes,"Dishwasher, Disposal, Dryer, Electric Cooktop, Microwave, Electric Oven, Refrigerator, Washer/Dryer Stacked",130914.0,yes,no,no,no,USA
42,4600 TRUTH WAY,"Austin, TX",78725.0,2,2,"1,100",2,Yes,"Dishwasher, Disposal, Microwave, Gas Oven, Free-standing Gas Range, Refrigerator",149200.0,yes,no,no,no,USA
43,6901 WENTWORTH DR APT D,"Austin, TX",78724.0,2,2,950,2,Yes,"Cooktop Gas, Refrigerator",95588.0,no,no,no,no,USA
44,611 W 31ST ST APT B,"Austin, TX",78705.0,1,1,405,No Info,Yes,"Dryer, Gas Range, Microwave, Refrigerator, Tankless Water Heater",81042.0,no,no,no,no,USA
45,3000 PRADO ST # B,"Austin, TX",78702.0,2,1,936,2,Yes,"Dishwasher, Disposal, Cooktop Gas, Microwave, Free-standing Range, Refrigerator, Water Heater-gas",249360.0,yes,no,no,no,USA
46,601 NELRAY BLVD APT 7,"Austin, TX",78751.0,1,1,390,1,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",103900.0,yes,no,no,no,USA
47,,,,,,,,,,0.0,no,no,no,no,USA
48,2811 RIO GRANDE ST APT 303,"Austin, TX",78705.0,2,2,910,2,Yes,"Dishwasher, Disposal, Electric Range, Refrigerator",162084.0,yes,no,no,no,USA
49,6901 WENTWORTH DR APT B,"Austin, TX",78724.0,2,2,950,2,Yes,"Cooktop Gas, Refrigerator",99744.0,no,no,no,no,USA
50,2220 LEON ST APT 302,"Austin, TX",78705.0,2,2,871,2,Yes,"Dishwasher, Disposal, Electric Cooktop, Free-standing Range, Refrigerator, Washer/Dryer Stacked",149616.0,yes,no,no,no,USA
51,2408 LONGVIEW ST APT 208,"Austin, TX",78705.0,2,1,720,2,Yes,"Dishwasher, Disposal, Gas Range, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",141304.0,yes,no,no,no,USA
52,98 SAN JACINTO BLVD # 904,"Austin, TX",78701.0,1,2,990,1,Yes,"Built-in Gas Range, Gas Range, Ice Maker, Microwave, Gas Oven, Refrigerator",398976.0,no,no,no,no,USA
53,1411 GRACY FARMS LN APT 96,"Austin, TX",78758.0,2,1,752,2,Yes,"Dishwasher, Microwave, Free-standing Electric Range",132576.0,yes,no,no,no,USA
54,3819 SOUTHWAY DR APT 211,"Austin, TX",78704.0,2,1,800,2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator, Water Heater-gas",103900.0,yes,no,no,no,USA
55,1400 W 51ST ST,"Austin, TX",78756.0,2,1,872,No Info,Yes,"Free-standing Gas Range, Refrigerator, Water Heater-gas",187020.0,no,no,no,no,USA
56,513 PECAN GROVE RD APT 106,"Austin, TX",78704.0,1,1,575,1,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Oven, Refrigerator, Stainless Steel Appliance(s), Washer/Dryer",162084.0,yes,no,no,no,USA
57,6409 BURNS ST APT 307,"Austin, TX",78752.0,2,2,829,2,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Microwave, Free-standing Electric Oven, Refrigerator, Stainless Steel Appliance(s), Water Heater-electric",165824.0,yes,no,no,no,USA
58,8809 DAWNRIDGE CIR APT 103,"Austin, TX",78757.0,2,2,925,No Info,Yes,"Dishwasher, Electric Range",140888.0,yes,no,no,no,USA
59,4805 RICHMOND AVE # B,"Austin, TX",78745.0,2,1,720,2,Yes,"Dishwasher, Dryer, Gas Range, Refrigerator, Washer",182864.0,yes,no,no,no,USA
60,507 SABINE ST APT 405,"Austin, TX",78701.0,2,2,"1,456",2,Yes,Refrigerator,265984.0,no,no,no,no,USA
61,70 RAINEY ST APT 1907,"Austin, TX",78701.0,2,2,"1,128",1,Yes,"Built-in Gas Oven, Built-in Gas Range, Built-in Refrigerator, Cooktop, Dishwasher, Disposal, Dryer, Exhaust Fan, Freezer, Ice Maker, Microwave, Washer/Dryer",457160.0,no,no,no,no,USA
62,806 W 24TH ST APT 306,"Austin, TX",78705.0,1,1,715,1,Yes,"Dishwasher, Disposal, Dryer, Electric Cooktop, Microwave, Free-standing Range, Washer",126758.0,yes,no,no,no,USA
63,711 W 21ST ST # 204,"Austin, TX",78705.0,2,2,744,2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",157512.0,yes,no,no,no,USA
64,7929 GAULT ST APT 204,"Austin, TX",78757.0,2,2,850,2,Yes,"Convection Oven, Cooktop, Dishwasher, Freezer, Refrigerator",112129.0,no,no,no,no,USA
65,711 EBERHART LN APT 206,"Austin, TX",78745.0,1,1,576,2,Yes,"Dishwasher, Refrigerator, Self Cleaning Oven",89354.0,yes,no,no,no,USA
66,8809 DAWNRIDGE CIR APT 103,"Austin, TX",78757.0,2,2,925,2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator",140888.0,yes,no,no,no,USA
67,206 W NORTH LOOP BLVD,"Austin, TX",78751.0,1,1,756,2,Yes,"Oven, Range, Refrigerator",107640.0,no,no,no,no,USA
68,3819 SOUTHWAY DR APT 105,"Austin, TX",78704.0,2,1,820,2,Yes,"Built-in Oven(s), Convection Oven, Dishwasher, Disposal, Electric Cooktop, Electric Range, Exhaust Fan, Microwave, Refrigerator, Water Heater-electric",112212.0,no,no,no,no,USA
69,3901 KNOLLWOOD DR # B,"Austin, TX",78731.0,2,1,"1,020",1,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range, Refrigerator",190760.0,yes,no,no,no,USA
70,12805 COPPER CLIFF AVE # A,"Austin, TX",78727.0,2,2,835,2,Yes,"Dishwasher, Disposal, Oven, Free-standing Range, Refrigerator",128836.0,yes,no,no,no,USA
71,9004 SANGER DR # A,"Austin, TX",78748.0,2,2,"2,074",2,Yes,"Cooktop Gas, Gas Range, Microwave, Refrigerator, Water Heater-gas",153772.0,no,no,no,no,USA
72,8800B SPRINGMAIL CIR # B,"Austin, TX",78729.0,2,2,980,2,Yes,"Built-in Electric Oven, Built-in Electric Range, Dishwasher, Disposal, Exhaust Fan, Ice Maker, Electric Oven, Free-standing Refrigerator, Water Heater-electric",132576.0,no,no,no,no,USA
73,415 FANTAIL LOOP APT A,"Austin, TX",78734.0,2,2,995,2,Yes,"Dishwasher, Disposal, Electric Range, Oven",149616.0,yes,no,no,no,USA
74,1212 GUADALUPE ST APT 1100,"Austin, TX",78701.0,2,2,"2,647",2,Yes,"Convection Oven, Dishwasher, Disposal, Gas Range, Microwave, Double Oven, Free-standing Range, Refrigerator, Stainless Steel Appliance(s), Water Softener Owned",831200.0,no,no,no,no,USA
75,8802 CAINWOOD LN # B,"Austin, TX",78729.0,2,2,"2,172",1,Yes,"Dishwasher, Disposal, Electric Range, Free-standing Range",132576.0,yes,no,no,no,USA
76,2105 GARDEN ST,"Austin, TX",78702.0,2,2,"1,002",2,Yes,"Dishwasher, Disposal, Electric Cooktop, Microwave, Refrigerator",270140.0,yes,no,no,no,USA
77,3016 GUADALUPE ST APT 208,"Austin, TX",78705.0,2,2,"1,053",2,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator",178708.0,yes,no,no,no,USA
78,300 BOWIE ST APT 2308,"Austin, TX",78703.0,1,1,698,2,Yes,"Convection Oven, Dishwasher, Disposal, Gas Range, Microwave, Free-standing Gas Oven, Plumbed For Ice Maker, Refrigerator, Washer/Dryer Stacked",220102.0,no,no,no,no,USA
79,909 REINLI ST APT 242,"Austin, TX",78751.0,2,2,915,2,Yes,"Electric Cooktop, Microwave, Refrigerator",141304.0,no,no,no,no,USA
80,1807 W SAINT JOHNS AVE,"Austin, TX",78757.0,2,1,970,2,Yes,"Dishwasher, Disposal, Dryer, Cooktop Gas, Gas Range, Free-standing Range, Refrigerator, Tankless Water Heater, Washer",191176.0,yes,no,no,no,USA
81,6000 SHEPHERD MOUNTAIN CV UNIT 406,"Austin, TX",78730.0,2,1,814,2,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Stainless Steel Appliance(s), Washer/Dryer, Water Heater-electric",141304.0,yes,no,no,no,USA
82,9226 JOLLYVILLE RD APT 222,"Austin, TX",78759.0,1,1,759,1,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Refrigerator, Washer/Dryer Stacked",132992.0,yes,no,no,no,USA
83,210 LEE BARTON DR UNIT 512,"Austin, TX",78704.0,1,1,862,1,Yes,"Built-in Gas Range, Built-in Oven(s), Dishwasher, Disposal, Dryer, Exhaust Fan, Cooktop Gas, Microwave, Free-standing Refrigerator, Self Cleaning Oven, Stainless Steel Appliance(s), Vented Exhaust Fan, Washer/Dryer, Washer/Dryer Stacked",216112.0,no,no,no,no,USA
84,1106 W 22ND ST APT 2,"Austin, TX",78705.0,1,1,500,1,Yes,"Dishwasher, Dryer, Free-standing Range, Refrigerator, Washer",108056.0,yes,no,no,no,USA
85,12166 METRIC BLVD APT 128,"Austin, TX",78758.0,1,1,516,2,Yes,"Dishwasher, Microwave, Electric Range, Free-standing Range, Refrigerator",103900.0,yes,no,no,no,USA
86,1914 CULLEN AVE APT B,"Austin, TX",78757.0,1,1,600,1,Yes,"Gas Range, Free-standing Range, Refrigerator",132992.0,no,no,no,no,USA
87,11711 KINGS VIEW CT # A,"Austin, TX",78750.0,2,2,"2,038",2,Yes,"Dishwasher, Disposal, Refrigerator",141304.0,yes,no,no,no,USA
88,507 CUTTY TRL APT A,"Lakeway, TX",78734.0,2,2,900,2,Yes,"Dishwasher, Electric Range, Microwave, Free-standing Range, Refrigerator, Water Heater-electric",147122.0,yes,no,no,no,USA
89,12402 ALDERBROOK DR # A,"Austin, TX",78758.0,2,1,900,1,Yes,"Dishwasher, Free-standing Gas Range",124680.0,yes,no,no,no,USA
90,2105 PENNSYLVANIA AVE # 2,"Austin, TX",78702.0,2,2,"1,066",2,Yes,"Dishwasher, Disposal, See Remarks, Washer/Dryer",288842.0,yes,no,no,no,USA
91,301 WEST AVE UNIT 3502,"Austin, TX",78701.0,2,2,"1,351",1,Yes,"Built-in Gas Range, Dishwasher, Disposal, Dryer, Microwave, Oven, Washer",498720.0,no,no,no,no,USA
92,6501 BRUSH COUNTRY RD APT 121,"Austin, TX",78749.0,2,1,905,2,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator, Water Heater-gas",130914.0,yes,no,no,no,USA
93,1906 ROBBINS PL # 208,"Austin, TX",78705.0,2,2,930,2,Yes,"Dishwasher, Disposal, Electric Range, Free-standing Range, Refrigerator",166240.0,yes,no,no,no,USA
94,11807 LOCHRIDGE DR # A,"Austin, TX",78758.0,2,2,910,2,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range, Refrigerator, Water Heater-gas",135070.0,yes,no,no,no,USA
95,11404 WALNUT RIDGE DR APT 10,"Austin, TX",78753.0,2,3,"1,041",2,Yes,"Dishwasher, Disposal, Microwave, Free-standing Gas Range, Stainless Steel Appliance(s), Water Heater-gas",216112.0,yes,no,no,no,USA
96,4016 MAPLEWOOD AVE # A,"Austin, TX",78722.0,2,1,880,2,Yes,"Dryer, Energy Star Qualified Appliances, Microwave, Free-standing Gas Range, Refrigerator, Washer/Dryer Stacked",191176.0,no,no,no,no,USA
97,902 E 2ND ST # A,"Austin, TX",78702.0,2,2,"1,455",2,Yes,"Dishwasher, Exhaust Fan, Gas Range, Ice Maker, Microwave, Refrigerator, Washer/Dryer Stacked",369884.0,yes,no,no,no,USA
98,1702 S LAMAR BLVD UNIT 12,"Austin, TX",78704.0,2,3,"1,521",2,Yes,"Dishwasher, Disposal, Microwave, Oven, Free-standing Range, Refrigerator, Washer/Dryer",0.0,yes,no,no,no,USA
99,902 E 2ND ST # B,"Austin, TX",78702.0,1,1,504,1,Yes,"Dishwasher, Exhaust Fan, Gas Range, Ice Maker, Microwave, Refrigerator, Washer/Dryer Stacked",182448.0,yes,no,no,no,USA
100,6700 MENCHACA DR RD # 10,"Austin, TX",78745.0,2,1,818,3,Yes,"Dishwasher, Disposal, Free-standing Electric Range, Refrigerator",153772.0,yes,no,no,no,USA
101,2400 TRAILSIDE DR # A,"Austin, TX",78704.0,2,1,"1,756",2,Yes,"Built-in Gas Oven, Built-in Gas Range, Dishwasher, Freezer, Microwave, Refrigerator, Stainless Steel Appliance(s)",216112.0,no,no,no,no,USA
102,1500 ELTON LN APT 1,"Austin, TX",78703.0,2,3,"1,566",2,Yes,"Built-in Oven(s), Dishwasher, Disposal, Electric Range, Refrigerator",249360.0,no,no,no,no,USA
103,70 RAINEY ST APT 2109,"Austin, TX",78701.0,1,1,718,1,Yes,"Built-in Freezer, Built-in Gas Oven, Built-in Gas Range, Built-in Refrigerator, Dishwasher, Washer/Dryer",228580.0,no,no,no,no,USA
104,6700 MENCHACA DR RD # 11,"Austin, TX",78745.0,2,1,818,3,Yes,"Dishwasher, Disposal, Free-standing Electric Range, Refrigerator",153772.0,yes,no,no,no,USA
105,6706 CIRCLE S RD # B,"Austin, TX",78745.0,2,1,750,2,Yes,"Dishwasher, Disposal, Microwave, Free-standing Gas Oven, Free-standing Gas Range, Refrigerator",149200.0,yes,no,no,no,USA
106,1710 GARDEN ST # B,"Austin, TX",78702.0,2,2,997,1,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator",265984.0,yes,no,no,no,USA
107,70 RAINEY ST APT 1607,"Austin, TX",78701.0,2,2,"1,128",1,Yes,"Built-in Oven(s), Dishwasher, Disposal, Exhaust Fan, Cooktop Gas, Microwave, Refrigerator, Self Cleaning Oven, Tankless Water Heater",415600.0,no,no,no,no,USA
108,7208 CREEKSIDE DR APT D,"Austin, TX",78752.0,2,1,"4,716",3,Yes,"Dishwasher, Dryer, Gas Range, Free-standing Range, Refrigerator, Washer",137148.0,yes,no,no,no,USA
109,12323 PATRON DR # A,"Austin, TX",78758.0,2,2,"1,777",2,Yes,"Dishwasher, Disposal, Down Draft, Gas Range, Ice Maker, Free-standing Gas Oven, Free-standing Refrigerator, Water Heater-gas",132576.0,yes,no,no,no,USA
110,4403 BUTTON BEND CIR # B,"Austin, TX",78744.0,1,1,300,1,Yes,"Dishwasher, Disposal, Dryer, Microwave, Free-standing Range, Refrigerator, Washer",70652.0,yes,no,no,no,USA
111,7122 WOOD HOLLOW DR APT 36,"Austin, TX",78731.0,2,2,"1,158",1,Yes,"Cooktop, Dishwasher, Disposal, Energy Star Qualified Refrigerator, Microwave, Oven, Refrigerator, Washer/Dryer",148785.0,no,no,no,no,USA
112,924 E 51ST ST APT 103,"Austin, TX",78751.0,2,2,"1,157",2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked, Water Heater-gas",157512.0,yes,no,no,no,USA
113,301 WEST AVE UNIT 1404,"Austin, TX",78701.0,2,2,"1,474",10,Yes,"Disposal, Cooktop Gas, Gas Range, Microwave, Refrigerator, Stainless Steel Appliance(s)",540280.0,no,no,yes,no,USA
114,3115 HELMS ST APT 212,"Austin, TX",78705.0,2,2,815,2,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",182864.0,yes,no,no,no,USA
115,3000 GUADALUPE ST APT 114,"Austin, TX",78705.0,1,1,394,1,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Free-standing Range, Refrigerator",85198.0,yes,no,no,no,USA
116,,,,,,,,,,0.0,no,no,no,no,USA
117,2450 WICKERSHAM LN APT 1303,"Austin, TX",78741.0,1,1,704,1,Yes,"Dishwasher, Disposal, Dryer, Electric Range, Microwave, Refrigerator, Washer",103900.0,yes,no,no,no,USA
118,2616 E 3RD ST,"Austin, TX",78702.0,1,1,624,2,Yes,"Exhaust Fan, Gas Range, Microwave, Range, Refrigerator",132992.0,no,no,no,no,USA
119,6000 SHEPHERD MOUNTAIN CV UNIT 1911,"Austin, TX",78730.0,2,1,814,1,Yes,"Dishwasher, Disposal, Dryer, Microwave, Free-standing Range, Refrigerator, Washer, Water Heater-electric",0.0,yes,no,no,no,USA
120,203 E 31ST ST APT 308,"Austin, TX",78705.0,2,2,834,2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator, Washer",182864.0,yes,no,no,no,USA
121,1808 RIO GRANDE ST APT 8,"Austin, TX",78701.0,2,3,"1,229",2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator",174552.0,yes,no,no,no,USA
122,7107 SILVER STAR LN # 58,"Austin, TX",78744.0,2,3,"1,479",4,Yes,"Dishwasher, Disposal, Exhaust Fan, Cooktop Gas, Microwave, Plumbed For Ice Maker, Tankless Water Heater",199488.0,yes,no,no,no,USA
123,3215 EXPOSITION BLVD APT B15,"Austin, TX",78703.0,1,2,"1,208",2,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Wine Refrigerator",374040.0,yes,no,no,no,USA
124,4907 MERRITT CIR APT B,"Austin, TX",78744.0,2,1,800,2,Yes,"Dishwasher, Dryer, Gas Range, Free-standing Range, Refrigerator, Washer",105978.0,yes,no,no,no,USA
125,2605 ENFIELD RD APT 214,"Austin, TX",78703.0,2,1,853,2,Yes,"Electric Range, Refrigerator, See Remarks",137148.0,no,no,no,no,USA
126,901 W 22ND ST APT 201,"Austin, TX",78705.0,1,1,536,1,Yes,"Dishwasher, Disposal, Dryer, Free-standing Range, Refrigerator, Washer, Washer/Dryer Stacked",107640.0,yes,no,no,no,USA
127,40 N INTERSTATE 35 APT 4D2,"Austin, TX",78701.0,2,2,"1,360",2,Yes,"Built-in Electric Range, Built-in Oven(s), Built-in Range, Cooktop, Dishwasher, Disposal, Electric Cooktop, Electric Range, Microwave, Free-standing Range, Refrigerator, Stainless Steel Appliance(s), Water Heater-electric",205722.0,no,no,no,no,USA
128,5304 INDIO CIR # A,"Austin, TX",78745.0,2,1,"1,908",2,Yes,"Dishwasher, Disposal, Cooktop Gas, Gas Range, Free-standing Range, Refrigerator",112212.0,yes,no,no,no,USA
129,5311 S PLEASANT VALLEY RD APT A,"Austin, TX",78744.0,2,1,974,2,Yes,"Cooktop Gas, Gas Range, Refrigerator",124264.0,no,no,no,no,USA
130,2706 SALADO ST APT 210,"Austin, TX",78705.0,2,2,728,2,Yes,"Dishwasher, Disposal, Microwave, Free-standing Electric Range, Refrigerator, Washer/Dryer Stacked",157928.0,yes,no,no,no,USA
131,,,,,,,,,,0.0,no,no,no,no,USA
132,6900 BRANCHWOOD DR # A,"Austin, TX",78744.0,2,2,"1,757",2,Yes,"Electric Cooktop, Exhaust Fan, Oven, Free-standing Range, Refrigerator",130914.0,no,no,no,no,USA
133,2918 RANCH ROAD 620 N # J-160,"Austin, TX",78734.0,2,2,"1,160",2,Yes,"Dishwasher, Disposal, Microwave, Oven, Electric Oven, Range, Free-standing Electric Range, Refrigerator, Stainless Steel Appliance(s), Wine Refrigerator",290920.0,yes,no,no,no,USA
134,8888 TALLWOOD DR APT 2205,"Austin, TX",78759.0,1,1,598,1,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Electric Range, Refrigerator, Washer/Dryer Stacked, Water Heater-electric",83037.0,yes,no,no,no,USA
135,605 ELMWOOD PL APT B,"Austin, TX",78705.0,2,1,700,1,Yes,"Disposal, Free-standing Range, Refrigerator",120524.0,no,no,yes,no,USA
